File,ConfigID,Presolver,Scaling,Pricing,Ratio,Precision,ExitCode,TimeSeconds,Status,Iterations,Difficulty
bnatt500_LP,C1,0,0,0,1,100,0,1.801945525,optimal,1295,easy
bnatt500_LP,C2,1,2,0,3,100,0,2.784980172,optimal,1067,easy
bnatt500_LP,C3,2,2,5,3,100,0,1.682180837,optimal,896,easy
bnatt500_LP,C4,1,4,3,3,100,0,2.664769061,optimal,1067,easy
bnatt500_LP,C5,1,2,0,3,100,0,2.811684381,optimal,1067,easy
bnatt500_LP,C6,1,2,0,3,50,0,1.462789721,optimal,1011,easy
bnatt500_LP,C7,1,2,0,3,25,0,1.463686787,optimal,1011,easy
bnatt500_LP,C8,,,,,,0,0.187,optimal,-1,easy
bppc4-08_LP,C1,0,0,0,1,100,0,14.46694645,optimal,2876,easy
bppc4-08_LP,C2,1,2,0,3,100,0,4.682363988,optimal,646,easy
bppc4-08_LP,C3,2,2,5,3,100,0,1.518981495,optimal,254,easy
bppc4-08_LP,C4,1,4,3,3,100,0,6.107443156,optimal,810,easy
bppc4-08_LP,C5,1,2,0,3,100,0,4.588091082,optimal,646,easy
bppc4-08_LP,C6,1,2,0,3,50,0,2.952549691,optimal,852,easy
bppc4-08_LP,C7,1,2,0,3,25,0,2.936224966,optimal,852,easy
bppc4-08_LP,C8,,,,,,0,0.046,optimal,-1,easy
brazil3_LP,C1,0,0,0,1,100,124,750.0205783,timeout,-2,easy
brazil3_LP,C2,1,2,0,3,100,124,750.0252233,timeout,-2,easy
brazil3_LP,C3,2,2,5,3,100,0,746.8204577,optimal,12770,easy
brazil3_LP,C4,1,4,3,3,100,124,750.0253361,timeout,-2,easy
brazil3_LP,C5,1,2,0,3,100,124,750.0247636,timeout,-2,easy
brazil3_LP,C6,1,2,0,3,50,124,750.022901,timeout,-2,easy
brazil3_LP,C7,1,2,0,3,25,124,750.0226534,timeout,-2,easy
brazil3_LP,C8,,,,,,124,750.046,timeout,-1,easy
buildingenergy_LP,C1,0,0,0,1,100,124,750.1170883,timeout,-2,easy
buildingenergy_LP,C2,1,2,0,3,100,124,750.1807554,timeout,-2,easy
buildingenergy_LP,C3,2,2,5,3,100,124,750.1788709,timeout,-2,easy
buildingenergy_LP,C4,1,4,3,3,100,124,750.1763079,timeout,-2,easy
buildingenergy_LP,C5,1,2,0,3,100,124,750.1830343,timeout,-2,easy
buildingenergy_LP,C6,1,2,0,3,50,124,750.1524512,timeout,-2,easy
buildingenergy_LP,C7,1,2,0,3,25,124,750.1541247,timeout,-2,easy
buildingenergy_LP,C8,,,,,,124,750.389,timeout,-1,easy
cbs-cta_LP,C1,0,0,0,1,100,0,37.49009526,optimal,6716,easy
cbs-cta_LP,C2,1,2,0,3,100,0,21.49828935,optimal,6920,easy
cbs-cta_LP,C3,2,2,5,3,100,0,15.32458809,optimal,5975,easy
cbs-cta_LP,C4,1,4,3,3,100,0,9.77901266,optimal,3563,easy
cbs-cta_LP,C5,1,2,0,3,100,0,21.35953941,optimal,6920,easy
cbs-cta_LP,C6,1,2,0,3,50,0,9.565484709,optimal,6542,easy
cbs-cta_LP,C7,1,2,0,3,25,0,9.532727756,optimal,6542,easy
cbs-cta_LP,C8,,,,,,0,4.781,optimal,-1,easy
chromaticindex1024-7_LP,C1,0,0,0,1,100,124,750.0495354,timeout,-2,easy
chromaticindex1024-7_LP,C2,1,2,0,3,100,124,750.0758294,timeout,-2,easy
chromaticindex1024-7_LP,C3,2,2,5,3,100,124,750.0687651,timeout,-2,easy
chromaticindex1024-7_LP,C4,1,4,3,3,100,124,750.0713309,timeout,-2,easy
chromaticindex1024-7_LP,C5,1,2,0,3,100,124,750.0750679,timeout,-2,easy
chromaticindex1024-7_LP,C6,1,2,0,3,50,124,750.061076,timeout,-2,easy
chromaticindex1024-7_LP,C7,1,2,0,3,25,124,750.0612813,timeout,-2,easy
chromaticindex1024-7_LP,C8,,,,,,0,652.296,optimal,-1,easy
chromaticindex512-7_LP,C1,0,0,0,1,100,124,750.0289154,timeout,-2,easy
chromaticindex512-7_LP,C2,1,2,0,3,100,124,750.0415564,timeout,-2,easy
chromaticindex512-7_LP,C3,2,2,5,3,100,124,750.03874,timeout,-2,easy
chromaticindex512-7_LP,C4,1,4,3,3,100,0,505.5616769,optimal,83946,easy
chromaticindex512-7_LP,C5,1,2,0,3,100,124,750.0415211,timeout,-2,easy
chromaticindex512-7_LP,C6,1,2,0,3,50,0,335.2641337,optimal,41331,easy
chromaticindex512-7_LP,C7,1,2,0,3,25,0,330.7935161,optimal,41331,easy
chromaticindex512-7_LP,C8,,,,,,0,167.577,optimal,-1,easy
cmflsp50-24-8-8_LP,C1,0,0,0,1,100,0,170.1290926,optimal,10377,easy
cmflsp50-24-8-8_LP,C2,1,2,0,3,100,0,194.0664384,optimal,10079,easy
cmflsp50-24-8-8_LP,C3,2,2,5,3,100,0,105.3016655,optimal,8181,easy
cmflsp50-24-8-8_LP,C4,1,4,3,3,100,0,152.6665584,optimal,9334,easy
cmflsp50-24-8-8_LP,C5,1,2,0,3,100,0,194.4313335,optimal,10079,easy
cmflsp50-24-8-8_LP,C6,1,2,0,3,50,0,71.72842292,optimal,9174,easy
cmflsp50-24-8-8_LP,C7,1,2,0,3,25,0,69.4809976,optimal,9174,easy
cmflsp50-24-8-8_LP,C8,,,,,,0,5.796,optimal,-1,easy
CMS750_4_LP,C1,0,0,0,1,100,0,6.90620799,optimal,9516,easy
CMS750_4_LP,C2,1,2,0,3,100,0,19.28396438,optimal,11913,easy
CMS750_4_LP,C3,2,2,5,3,100,0,17.52753079,optimal,10691,easy
CMS750_4_LP,C4,1,4,3,3,100,0,25.72930774,optimal,19663,easy
CMS750_4_LP,C5,1,2,0,3,100,0,19.05772165,optimal,11913,easy
CMS750_4_LP,C6,1,2,0,3,50,0,9.844131583,optimal,11837,easy
CMS750_4_LP,C7,1,2,0,3,25,0,9.668809435,optimal,11837,easy
CMS750_4_LP,C8,,,,,,0,1.734,optimal,-1,easy
co-100_LP,C1,0,0,0,1,100,0,707.9447843,optimal,8106,easy
co-100_LP,C2,1,2,0,3,100,0,88.9093183,optimal,708,easy
co-100_LP,C3,2,2,5,3,100,0,48.29416376,optimal,379,easy
co-100_LP,C4,1,4,3,3,100,0,149.3098292,optimal,1354,easy
co-100_LP,C5,1,2,0,3,100,0,89.46782536,optimal,708,easy
